model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,simulation_horizon,stable_a_successes,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b_successes,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus_successes,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_zealots,1000,100,100,0,200,0.2,35,5,1.05,0.95,115,4490,0.9977777777777778,0.9950951875482201,0.9989946605952118,0,0.0,0.0,0.0014722507487849438,4490,0.9977777777777778,0.9950951875482201,0.9989946605952118,4500,0.99,0,7054968130035322648,1114.8439014590112,ok,
voter_zealots,1000,100,100,0,200,0.2,35,10,1.05,0.95,115,4358,0.9684444444444444,0.9610118298094661,0.9744977237112278,0,0.0,0.0,0.0014722507487849438,4358,0.9684444444444444,0.9610118298094661,0.9744977237112278,4500,0.99,0,7054968130035322648,1114.8439014590112,ok,
voter_zealots,1000,100,100,0,200,0.2,35,20,1.05,0.95,115,3501,0.778,0.7616392637271385,0.7935421648565371,0,0.0,0.0,0.0014722507487849438,3501,0.778,0.7616392637271385,0.7935421648565371,4500,0.99,0,7054968130035322648,1114.8439014590112,ok,
voter_zealots,1000,100,100,0,200,0.2,35,30,1.05,0.95,115,2433,0.5406666666666666,0.5214853020923992,0.5597282881800328,0,0.0,0.0,0.0014722507487849438,2433,0.5406666666666666,0.5214853020923992,0.5597282881800328,4500,0.99,0,7054968130035322648,1114.8439014590112,ok,
voter_zealots,1000,100,100,0,200,0.2,35,40,1.05,0.95,115,1607,0.3571111111111111,0.33893540712541953,0.3757075516441221,0,0.0,0.0,0.0014722507487849438,1607,0.3571111111111111,0.33893540712541953,0.3757075516441221,4500,0.99,0,7054968130035322648,1114.8439014590112,ok,
voter_zealots,1000,100,100,0,200,0.2,35,60,1.05,0.95,115,705,0.15666666666666668,0.14321604601241297,0.17112823283508602,0,0.0,0.0,0.0014722507487849438,705,0.15666666666666668,0.14321604601241297,0.17112823283508602,4500,0.99,0,7054968130035322648,1114.8439014590112,ok,
voter_zealots,1000,100,100,0,200,0.2,35,80,1.05,0.95,115,308,0.06844444444444445,0.0593703175507604,0.07878928731774644,0,0.0,0.0,0.0014722507487849438,308,0.06844444444444445,0.0593703175507604,0.07878928731774644,4500,0.99,0,7054968130035322648,1114.8439014590112,ok,
voter_contrarians,100,0,0,0,0,0.0,35,0,1.05,0.95,115,4476,0.9946666666666667,0.9910503994006856,0.9968263871918499,2648,0.5884444444444444,0.5694313541093997,0.6071971099803707,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,3544868190536324665,24.599214738991577,ok,
voter_contrarians,100,0,0,0,0,0.0,35,5,1.05,0.95,115,4401,0.978,0.971624210610195,0.9829683176739666,426,0.09466666666666666,0.08401463236214668,0.10651220557820165,4493,0.9984444444444445,0.9960298000700901,0.9993914184056768,4500,0.99,0,3544868190536324665,24.599214738991577,ok,
voter_contrarians,100,0,0,0,0,0.0,35,10,1.05,0.95,115,4365,0.97,0.9627261501360058,0.9758899341601364,204,0.04533333333333334,0.037992443948759815,0.05401298939880197,4458,0.9906666666666667,0.9861846816869149,0.9937038829116109,4500,0.99,0,3544868190536324665,24.599214738991577,ok,
voter_contrarians,100,0,0,0,0,0.0,35,20,1.05,0.95,115,4329,0.962,0.9539521717507101,0.9686874685574126,88,0.019555555555555555,0.014903040818870929,0.025622739678405983,4400,0.9777777777777777,0.9713748577316524,0.9827738804417309,4500,0.99,0,3544868190536324665,24.599214738991577,ok,
